fra;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-06-03;389;259;679;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-04;8;10;25;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-04;14;10;25;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-04;45;32;78;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-04;52;60;113;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-04;48;41;90;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-04;47;42;90;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-04;22;32;55;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-04;13;17;30;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-04;42;20;62;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-04;42;16;58;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-04;333;283;631;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-05;7;10;17;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-05;19;31;50;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-05;31;38;72;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-05;41;44;87;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-05;42;29;71;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-05;37;28;67;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-05;31;28;60;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-05;25;20;46;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-05;35;21;56;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-05;28;9;37;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-05;296;258;565;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-06;3;11;14;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-06;10;7;18;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-06;20;21;41;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-06;29;22;51;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-06;21;24;45;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-06;16;19;35;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-06;12;16;29;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-06;12;13;25;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-06;14;9;23;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-06;11;2;13;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-06;148;146;297;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-07;3;4;8;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-07;6;10;16;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-07;8;3;12;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-07;8;9;17;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-07;12;7;21;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-07;8;8;16;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-07;4;10;14;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-07;3;4;7;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-07;6;9;15;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-07;9;3;12;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-07;67;67;138;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-08;15;12;27;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-08;19;16;37;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-08;42;39;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-08;47;38;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-08;50;35;88;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-08;42;25;67;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-08;23;29;53;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-08;21;15;36;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-08;27;19;46;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-08;27;11;40;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-08;313;239;564;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-09;11;16;32;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-09;23;18;45;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-09;33;46;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-09;44;36;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-09;48;42;95;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-09;29;40;74;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-09;25;20;48;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-09;14;21;36;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-09;27;9;38;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-09;31;8;39;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-09;285;256;577;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-10;8;12;23;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-10;17;20;41;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-10;37;42;91;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-10;45;35;89;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-10;26;25;63;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-10;32;34;79;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-10;21;22;48;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-10;28;21;52;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-10;25;21;54;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-10;15;6;26;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-10;254;238;566;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-11;17;26;50;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-11;17;19;51;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-11;50;35;98;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-11;63;47;123;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-11;32;41;85;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-11;42;33;82;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-11;13;23;44;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-11;16;20;38;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-11;14;12;33;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-11;16;2;22;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-11;280;258;626;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-12;15;22;48;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-12;30;29;68;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-12;48;36;98;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-12;40;44;89;4266384.08361496;4028987.84832459;39;8295371.93193955
